ID;language;trial;disp_type;target;distr;matching;key;n_targ;age;sex
44;Xhosa;48;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/intyatyambo-flower.PNG;1;[['k', 0.35408496856689453]];10;2;male
44;Xhosa;49;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/imbiza-pot.PNG;0;[['k', 0.33101892471313477]];9;2;male
44;Xhosa;50;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;1;[['k', 1.107511043548584]];11;2;male
44;Xhosa;51;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;0;[['k', 0.768157958984375]];11;2;male
44;Xhosa;52;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;0;[['k', 0.4241349697113037]];8;2;male
44;Xhosa;53;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;0;[['k', 0.38374996185302734]];9;2;male
44;Xhosa;54;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umnqwazi-hat.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;1;[['k', 0.3840909004211426]];10;2;male
44;Xhosa;55;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;0;[['k', 0.3814208507537842]];11;2;male
44;Xhosa;56;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitshixo-key.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/intyatyambo-flower.PNG;0;[['k', 0.37674498558044434]];11;2;male
44;Xhosa;57;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;0;[['k', 0.4011850357055664]];8;2;male
44;Xhosa;58;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitshixo-key.PNG;0;[['k', 0.34504103660583496]];10;2;male
44;Xhosa;59;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitshixo-key.PNG;1;[['k', 0.36360716819763184]];8;2;male
44;Xhosa;60;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/ileri-ladder.PNG;1;[['k', 0.8483819961547852]];11;2;male
